location,species,psd,2.5%1,Estimate1,97.5%1,P value1,2.5%2,Estimate2,97.5%2,P value2,model p_value
Pine Butte,Brown,SS,-1182,-134.4,836.8,0.818,-0.3745,0.1094,0.6301,0.71,0.6505
Pine Butte,Brown,S-Q,1399,1559,1730,0,-0.8112,-0.7263,-0.6471,0,1.74E-64
Pine Butte,Brown,Q-P,924.9,1085,1257,0,-0.575,-0.4896,-0.4102,0,7.67E-34
Pine Butte,Brown,P-M,809.7,933.2,1056,0,-0.4745,-0.4134,-0.3521,0,4.85E-43
Pine Butte,Brown,M-T,408.8,509,602.9,0,-0.25,-0.2034,-0.1536,0,1.58E-17
Pine Butte,Brown,>T,-344.5,-24.97,253.7,0.864,-0.07893,0.05961,0.2182,0.394,0.3202
Varney,Brown,SS,-1464,12.9,1248,0.978,-0.581,0.03491,0.769,0.908,0.7864
Varney,Brown,S-Q,696.8,843.8,974.3,0,-0.4378,-0.3729,-0.2997,0,1.03E-18
Varney,Brown,Q-P,328.6,463.7,616,0,-0.2587,-0.1832,-0.1161,0,8.46E-08
Varney,Brown,P-M,182.8,359.5,534.1,0,-0.2165,-0.1297,-0.04187,0.004,0.001363
Varney,Brown,M-T,-217.5,-39.97,138.9,0.674,-0.01989,0.06883,0.1573,0.144,0.1097
Varney,Brown,>T,-955.7,-733.6,-517.7,0,0.3042,0.412,0.5221,0,5.58E-15
Pine Butte,Rainbow,SS,960.1,1079,1198,0,-0.5458,-0.4863,-0.4274,0,7.88E-63
Pine Butte,Rainbow,S-Q,453.9,552.6,666.3,0,-0.2838,-0.2272,-0.1782,0,1.52E-24
Pine Butte,Rainbow,Q-P,-13.27,138.2,286.4,0.07,-0.09747,-0.02384,0.05131,0.566,0.5551
Varney,Rainbow,SS,225.4,343.3,465,0,-0.1826,-0.1224,-0.06379,0,4.91E-06
Varney,Rainbow,S-Q,422.9,580,724.5,0,-0.3138,-0.2419,-0.1638,0,1.05E-10
Varney,Rainbow,Q-P,-46.44,162.7,360.5,0.112,-0.1346,-0.03633,0.06752,0.502,0.485
Varney,Rainbow,P-M,-1006,-124,867.3,0.782,-0.3879,0.1051,0.5431,0.648,0.7859
