"name","Lwr95CI","Estimate","Upr95CI","t value","p value"
"(Intercept)",-4.6814,-4.6404,-4.5995,-222.2176,0
"log10(Length)",2.8653,2.8818,2.8983,342.4538,0
"Year2004",0.0796,0.1587,0.2377,3.9345,1e-04
"Year2005",-0.164,-0.0942,-0.0244,-2.6467,0.0081
"Year2006",-0.2062,-0.1499,-0.0937,-5.2255,0
"Year2007",-0.3216,-0.2617,-0.2017,-8.5557,0
"Year2008",-0.3459,-0.2741,-0.2023,-7.4835,0
"Year2009",-0.359,-0.3036,-0.2482,-10.7391,0
"Year2010",-0.4365,-0.3781,-0.3197,-12.6911,0
"Year2011",-0.357,-0.2921,-0.2272,-8.8224,0
"Year2012",-0.4872,-0.4334,-0.3797,-15.798,0
"Year2013",-0.6314,-0.5716,-0.5118,-18.7364,0
"Year2014",-0.3978,-0.3378,-0.2778,-11.0257,0
"Year2015",-0.2694,-0.2124,-0.1554,-7.3049,0
"Year2016",-0.2455,-0.1389,-0.0323,-2.5533,0.0107
"Year2017",-0.4251,-0.3645,-0.304,-11.7953,0
"Year2018",-0.4397,-0.3749,-0.3101,-11.3457,0
"Year2019",-0.3564,-0.295,-0.2336,-9.4126,0
"Year2020",-0.3558,-0.2891,-0.2225,-8.501,0
"Year2021",-0.6224,-0.5521,-0.4818,-15.3938,0
"Year2022",-0.5443,-0.4826,-0.4209,-15.3387,0
"Year2023",-0.24,-0.1295,-0.019,-2.2979,0.0216
"log10(Length):Year2004",-0.0825,-0.0513,-0.0201,-3.2215,0.0013
"log10(Length):Year2005",0.0057,0.0335,0.0613,2.3618,0.0182
"log10(Length):Year2006",0.034,0.0567,0.0795,4.8835,0
"log10(Length):Year2007",0.0791,0.1033,0.1275,8.3642,0
"log10(Length):Year2008",0.0839,0.1124,0.1409,7.7215,0
"log10(Length):Year2009",0.0945,0.1168,0.1392,10.2566,0
"log10(Length):Year2010",0.1201,0.1435,0.167,12.0022,0
"log10(Length):Year2011",0.0865,0.1127,0.1389,8.4386,0
"log10(Length):Year2012",0.1416,0.1632,0.1849,14.7825,0
"log10(Length):Year2013",0.1897,0.2136,0.2376,17.4784,0
"log10(Length):Year2014",0.1009,0.125,0.1492,10.1599,0
"log10(Length):Year2015",0.0554,0.0783,0.1012,6.7074,0
"log10(Length):Year2016",0.0084,0.05,0.0917,2.3528,0.0186
"log10(Length):Year2017",0.1256,0.15,0.1744,12.0515,0
"log10(Length):Year2018",0.1155,0.1414,0.1674,10.6704,0
"log10(Length):Year2019",0.088,0.1127,0.1375,8.9375,0
"log10(Length):Year2020",0.0851,0.1115,0.138,8.2574,0
"log10(Length):Year2021",0.1914,0.2197,0.248,15.2152,0
"log10(Length):Year2022",0.1571,0.182,0.2068,14.3538,0
"log10(Length):Year2023",0.0038,0.0471,0.0904,2.1301,0.0332
