"name","Lwr95CI","Point estimate","Upr95CI"
"Year2003",-4.6805,-4.6404,-4.6004
"Year2004",-4.5481,-4.4818,-4.4154
"Year2005",-4.7905,-4.7347,-4.6789
"Year2006",-4.83,-4.7904,-4.7507
"Year2007",-4.9468,-4.9021,-4.8575
"Year2008",-4.9743,-4.9146,-4.8548
"Year2009",-4.9815,-4.944,-4.9065
"Year2010",-5.06,-5.0185,-4.977
"Year2011",-4.9806,-4.9326,-4.8845
"Year2012",-5.1093,-5.0739,-5.0384
"Year2013",-5.2534,-5.212,-5.1707
"Year2014",-5.0234,-4.9782,-4.9331
"Year2015",-4.8944,-4.8528,-4.8113
"Year2016",-4.8718,-4.7794,-4.6869
"Year2017",-5.0497,-5.005,-4.9603
"Year2018",-5.0652,-5.0154,-4.9655
"Year2019",-4.9821,-4.9355,-4.8888
"Year2020",-4.9855,-4.9296,-4.8736
"Year2021",-5.2474,-5.1925,-5.1377
"Year2022",-5.1724,-5.1231,-5.0737
"Year2023",-4.8773,-4.77,-4.6626
"Year2003:log10(Length)",2.8657,2.8818,2.8979
"Year2004:log10(Length)",2.8044,2.8305,2.8566
"Year2005:log10(Length)",2.8932,2.9153,2.9374
"Year2006:log10(Length)",2.9224,2.9385,2.9547
"Year2007:log10(Length)",2.9672,2.9851,3.0031
"Year2008:log10(Length)",2.9706,2.9942,3.0179
"Year2009:log10(Length)",2.9836,2.9987,3.0138
"Year2010:log10(Length)",3.0087,3.0254,3.042
"Year2011:log10(Length)",2.9751,2.9946,3.014
"Year2012:log10(Length)",3.0308,3.045,3.0593
"Year2013:log10(Length)",3.079,3.0955,3.1119
"Year2014:log10(Length)",2.9889,3.0069,3.0248
"Year2015:log10(Length)",2.9435,2.9601,2.9767
"Year2016:log10(Length)",2.8959,2.9319,2.9678
"Year2017:log10(Length)",3.0139,3.0318,3.0497
"Year2018:log10(Length)",3.0032,3.0233,3.0433
"Year2019:log10(Length)",2.9758,2.9946,3.0133
"Year2020:log10(Length)",2.9713,2.9934,3.0154
"Year2021:log10(Length)",3.0795,3.1015,3.1235
"Year2022:log10(Length)",3.044,3.0638,3.0836
"Year2023:log10(Length)",2.887,2.9289,2.9708
