"name","Lwr95CI","Estimate","Upr95CI","t value","p value"
"(Intercept)",-4.4941,-4.43,-4.3659,-135.4812,0
"log10(Length)",2.7697,2.7955,2.8213,212.3011,0
"Year2004",0.1677,0.2856,0.4036,4.7473,0
"Year2005",-0.2139,-0.1176,-0.0214,-2.3948,0.0166
"Year2006",-0.3068,-0.2249,-0.1429,-5.3797,0
"Year2007",-0.3249,-0.2389,-0.1528,-5.4393,0
"Year2008",-0.3921,-0.3011,-0.2101,-6.4859,0
"Year2009",-0.327,-0.234,-0.1409,-4.9291,0
"Year2010",-0.3502,-0.271,-0.1919,-6.7096,0
"Year2011",-0.361,-0.2799,-0.1989,-6.7661,0
"Year2012",-0.5267,-0.4372,-0.3478,-9.5832,0
"Year2013",-0.7568,-0.6783,-0.5997,-16.9275,0
"Year2014",-0.4652,-0.3746,-0.2841,-8.1078,0
"Year2015",-0.3558,-0.2751,-0.1944,-6.6839,0
"Year2016",-0.4966,-0.3792,-0.2618,-6.3324,0
"Year2017",-0.4317,-0.3446,-0.2575,-7.752,0
"Year2018",-0.4057,-0.329,-0.2524,-8.4145,0
"Year2019",-0.3395,-0.2579,-0.1764,-6.2004,0
"Year2020",-0.3154,-0.2224,-0.1294,-4.6881,0
"Year2021",-0.5162,-0.4258,-0.3354,-9.2306,0
"Year2022",-0.4848,-0.3922,-0.2997,-8.3093,0
"Year2023",-0.1056,0.0233,0.1521,0.3538,0.7235
"log10(Length):Year2004",-0.1492,-0.1022,-0.0552,-4.2596,0
"log10(Length):Year2005",-0.0021,0.0366,0.0754,1.852,0.064
"log10(Length):Year2006",0.0502,0.0834,0.1165,4.9326,0
"log10(Length):Year2007",0.0591,0.0938,0.1286,5.2899,0
"log10(Length):Year2008",0.0774,0.114,0.1506,6.1058,0
"log10(Length):Year2009",0.0473,0.0847,0.122,4.4407,0
"log10(Length):Year2010",0.0632,0.0953,0.1274,5.8147,0
"log10(Length):Year2011",0.0683,0.1015,0.1346,6.0019,0
"log10(Length):Year2012",0.1295,0.1656,0.2016,9.0024,0
"log10(Length):Year2013",0.2273,0.259,0.2907,16.0199,0
"log10(Length):Year2014",0.1041,0.1405,0.1769,7.5589,0
"log10(Length):Year2015",0.0669,0.0996,0.1322,5.9749,0
"log10(Length):Year2016",0.0952,0.1418,0.1883,5.9724,0
"log10(Length):Year2017",0.1009,0.136,0.1711,7.5934,0
"log10(Length):Year2018",0.0851,0.1161,0.147,7.3469,0
"log10(Length):Year2019",0.059,0.0921,0.1251,5.467,0
"log10(Length):Year2020",0.0456,0.083,0.1203,4.3535,0
"log10(Length):Year2021",0.1315,0.1682,0.2049,8.9815,0
"log10(Length):Year2022",0.1101,0.1472,0.1843,7.7687,0
"log10(Length):Year2023",-0.0662,-0.0148,0.0367,-0.5622,0.574
