"name","Lwr95CI","Point estimate","Upr95CI"
"Year2003",-4.4901,-4.43,-4.3699
"Year2004",-4.2373,-4.1444,-4.0515
"Year2005",-4.6187,-4.5477,-4.4766
"Year2006",-4.7065,-4.6549,-4.6033
"Year2007",-4.7256,-4.6689,-4.6122
"Year2008",-4.7968,-4.7312,-4.6656
"Year2009",-4.7298,-4.664,-4.5983
"Year2010",-4.7464,-4.701,-4.6557
"Year2011",-4.7597,-4.71,-4.6603
"Year2012",-4.9271,-4.8673,-4.8074
"Year2013",-5.1559,-5.1083,-5.0607
"Year2014",-4.8645,-4.8047,-4.7448
"Year2015",-4.752,-4.7051,-4.6583
"Year2016",-4.9065,-4.8093,-4.712
"Year2017",-4.8338,-4.7746,-4.7155
"Year2018",-4.8049,-4.759,-4.7132
"Year2019",-4.7411,-4.688,-4.6348
"Year2020",-4.7185,-4.6524,-4.5864
"Year2021",-4.9241,-4.8558,-4.7876
"Year2022",-4.883,-4.8223,-4.7615
"Year2023",-4.5149,-4.4068,-4.2987
"Year2003:log10(Length)",2.7714,2.7955,2.8197
"Year2004:log10(Length)",2.6564,2.6933,2.7303
"Year2005:log10(Length)",2.8035,2.8322,2.8608
"Year2006:log10(Length)",2.8579,2.8789,2.8999
"Year2007:log10(Length)",2.8663,2.8893,2.9124
"Year2008:log10(Length)",2.8831,2.9095,2.9359
"Year2009:log10(Length)",2.8538,2.8802,2.9065
"Year2010:log10(Length)",2.872,2.8908,2.9096
"Year2011:log10(Length)",2.8763,2.897,2.9177
"Year2012:log10(Length)",2.9369,2.9611,2.9854
"Year2013:log10(Length)",3.0351,3.0545,3.0738
"Year2014:log10(Length)",2.912,2.936,2.9601
"Year2015:log10(Length)",2.876,2.8951,2.9141
"Year2016:log10(Length)",2.899,2.9373,2.9756
"Year2017:log10(Length)",2.9077,2.9315,2.9553
"Year2018:log10(Length)",2.893,2.9116,2.9301
"Year2019:log10(Length)",2.866,2.8876,2.9092
"Year2020:log10(Length)",2.852,2.8785,2.905
"Year2021:log10(Length)",2.9358,2.9637,2.9917
"Year2022:log10(Length)",2.9183,2.9427,2.9671
"Year2023:log10(Length)",2.7378,2.7808,2.8238
