"name","Lwr95CI","Point estimate","Upr95CI"
"Year2003",-4.6862188229072,-4.63126766218264,-4.57631650145807
"Year2004",-4.59770602281944,-4.51808107333939,-4.43845612385934
"Year2009",-5.09279103880639,-5.04842608189603,-5.00406112498566
"Year2011",-5.04830576245661,-4.98495746489163,-4.92160916732664
"Year2014",-5.14299679208875,-5.08906256168258,-5.03512833127641
"Year2019",-5.10309679730281,-5.03270868629971,-4.96232057529661
"Year2021",-5.36138429579507,-5.28660082013176,-5.21181734446845
"Year2003:log10(Length)",2.85499095724121,2.87699416598257,2.89899737472393
"Year2004:log10(Length)",2.81038278041347,2.84205653126781,2.87373028212214
"Year2009:log10(Length)",3.01995505523462,3.03805330327923,3.05615155132384
"Year2011:log10(Length)",2.98939224655372,3.01532190367285,3.04125156079199
"Year2014:log10(Length)",3.0302290585146,3.05174119706083,3.07325333560705
"Year2019:log10(Length)",3.00643441279024,3.03496034263291,3.06348627247559
"Year2021:log10(Length)",3.11116953341879,3.14118753869439,3.17120554396999
