"0.10","0.25","0.50","0.75","0.90","Total length (mm)"
1,1.1,1.3,1.5,1.8,50
1.7,1.9,2.2,2.5,3,60
2.7,3.1,3.5,4,4.7,70
4.1,4.6,5.2,6,7,80
6,6.6,7.5,8.5,9.8,90
8.3,9.2,10.3,11.6,13.3,100
11.1,12.3,13.7,15.4,17.6,110
14.5,16,17.8,20,22.7,120
18.5,20.4,22.7,25.3,28.7,130
23.3,25.6,28.4,31.6,35.6,140
28.8,31.7,34.9,38.8,43.5,150
35.2,38.6,42.4,47,52.5,160
42.4,46.4,51,56.3,62.7,170
50.6,55.3,60.6,66.8,74.1,180
59.8,65.2,71.3,78.4,86.7,190
70.1,76.3,83.3,91.3,100.7,200
81.4,88.5,96.5,105.6,116.1,210
94,102.1,111.1,121.3,133,220
107.8,116.9,127,138.5,151.4,230
122.9,133.1,144.5,157.2,171.4,240
139.5,150.8,163.4,177.5,193,250
157.4,170,184,199.5,216.4,260
176.8,190.8,206.2,223.2,241.6,270
197.8,213.2,230.2,248.7,268.6,280
220.4,237.4,255.9,276.1,297.6,290
244.7,263.3,283.5,305.5,328.5,300
270.8,291,313,336.8,361.5,310
298.7,320.7,344.5,370.2,396.5,320
328.4,352.3,378.1,405.7,433.8,330
360.1,386,413.8,443.4,473.2,340
393.8,421.7,451.7,483.3,515,350
429.6,459.6,491.8,525.6,559.1,360
467.4,499.8,534.2,570.3,605.6,370
507.5,542.2,579.1,617.4,654.5,380
549.9,587,626.3,667.1,706,390
594.6,634.2,676.1,719.3,760.1,400
641.6,683.9,728.5,774.2,816.9,410
691.2,736.2,783.5,831.8,876.4,420
743.2,791.1,841.2,892.1,938.6,430
797.8,848.6,901.7,955.3,1003.7,440
855.1,909,965.1,1021.4,1071.7,450
915.1,972.1,1031.3,1090.5,1142.6,460
977.9,1038.2,1100.5,1162.6,1216.6,470
1043.5,1107.1,1172.8,1237.8,1293.6,480
1112.1,1179.1,1248.2,1316.1,1373.8,490
1183.6,1254.2,1326.8,1397.7,1457.2,500
1258.1,1332.5,1408.6,1482.6,1543.8,510
1335.8,1413.9,1493.7,1570.8,1633.7,520
1416.7,1498.7,1582.1,1662.5,1727.1,530
1500.8,1586.8,1674,1757.6,1823.8,540
1588.2,1678.3,1769.5,1856.3,1924.1,550
1679,1773.3,1868.5,1958.6,2027.9,560
1773.2,1871.8,1971.1,2064.6,2135.3,570
1871,1974,2077.4,2174.3,2246.4,580
1972.3,2079.9,2187.5,2287.8,2361.2,590
2077.3,2189.5,2301.5,2405.2,2479.8,600
2186,2302.9,2419.3,2526.5,2602.3,610
2298.4,2420.2,2541.1,2651.9,2728.7,620
2414.8,2541.5,2667,2781.2,2859,630
2535,2666.8,2796.9,2914.7,2993.4,640
2659.2,2796.2,2931.1,3052.4,3131.8,650
2787.5,2929.7,3069.4,3194.4,3274.4,660
2919.8,3067.5,3212.1,3340.6,3421.2,670
3056.4,3209.6,3359.1,3491.3,3572.3,680
3197.2,3356,3510.6,3646.4,3727.6,690
3342.3,3506.9,3666.6,3806,3887.4,700
3491.9,3662.2,3827.1,3970.1,4051.5,710
3645.9,3822.1,3992.3,4138.9,4220.2,720
