"name","Lwr95CI","Estimate","Upr95CI","t value","p value"
"(Intercept)",-4.6839,-4.6404,-4.597,-209.1076,0
"log10(Length)",2.8642,2.8818,2.8995,320.4826,0
"Year2004",0.0776,0.1587,0.2397,3.8373,1e-04
"Year2007",-0.3254,-0.2617,-0.1979,-8.0466,0
"Year2010",-0.4392,-0.3781,-0.3169,-12.1208,0
"Year2013",-0.6314,-0.5716,-0.5117,-18.7264,0
"Year2016",-0.2544,-0.1389,-0.0234,-2.3574,0.0184
"Year2019",-0.359,-0.295,-0.231,-9.0403,0
"Year2022",-0.5458,-0.4826,-0.4194,-14.9727,0
"log10(Length):Year2004",-0.0835,-0.0513,-0.0191,-3.1261,0.0018
"log10(Length):Year2007",0.0776,0.1033,0.129,7.8897,0
"log10(Length):Year2010",0.1188,0.1435,0.1682,11.4001,0
"log10(Length):Year2013",0.1896,0.2136,0.2377,17.4002,0
"log10(Length):Year2016",0.0049,0.05,0.0952,2.1712,0.0299
"log10(Length):Year2019",0.0869,0.1127,0.1385,8.5629,0
"log10(Length):Year2022",0.1563,0.182,0.2076,13.8933,0
